"Tweet id","Tweet permalink","Tweet text","time","impressions","engagements","engagement rate","retweets","replies","likes","user profile clicks","url clicks","hashtag clicks","detail expands","permalink clicks","app opens","app installs","follows","email tweet","dial phone","media views","media engagements","promoted impressions","promoted engagements","promoted engagement rate","promoted retweets","promoted replies","promoted likes","promoted user profile clicks","promoted url clicks","promoted hashtag clicks","promoted detail expands","promoted permalink clicks","promoted app opens","promoted app installs","promoted follows","promoted email tweet","promoted dial phone","promoted media views","promoted media engagements"
"1365360991391780868","https://twitter.com/rOpenSci/status/1365360991391780868","Want to keep up with @rOpenSci's work &amp; learn what others are doing with our  #rstats tools? 

Read and subscribe to our newsletter! 📰📬

Digest of 📦 news, use cases, blog posts, events, curated by @ma_salmon 👌 every month

https://t.co/L88IP0kAE2","2021-02-26 18:00 +0000","4342.0","51.0","0.01174573929064947","3.0","1.0","10.0","2.0","21.0","0.0","14.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1364643280403767299","https://twitter.com/rOpenSci/status/1364643280403767299",".@RStudioJoe reflects on the #rstudioglobal conf with special mention of 5 talks, including @opencpu's talk about rOpenSci's R-universe. 

https://t.co/K5K4iM9bad

Miss the talk? 

""Monitoring health and impact of open-source projects"" is online:

https://t.co/bkHj1QAKa6

#rstats","2021-02-24 18:28 +0000","3804.0","31.0","0.00814931650893796","1.0","0.0","7.0","3.0","11.0","0.0","9.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1364606010329993217","https://twitter.com/rOpenSci/status/1364606010329993217","@RStudioJoe reflects on the #rstudioglobal conf with special mention of 5 talks, including @opencpu's talk about rOpenSci's R-universe. 

https://t.co/K5K4iLRzLD

Miss the talk? 

""Monitoring health and impact of open-source projects"" is online:

https://t.co/bkHj1QSl1E

#rstats","2021-02-24 16:00 +0000","525.0","5.0","0.009523809523809525","0.0","0.0","3.0","0.0","2.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1364258730909569029","https://twitter.com/rOpenSci/status/1364258730909569029","🗓  1 week from today https://t.co/pzF5vgoX7U","2021-02-23 17:00 +0000","6531.0","24.0","0.0036747818098300414","5.0","0.0","11.0","5.0","0.0","0.0","3.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1364242733100126208","https://twitter.com/rOpenSci/status/1364242733100126208","@ma_salmon 🙏 Thank yous go out to 

@fransvandunne for translating the peer review checklist into Spanish and @grusonh for helping to clarify citation information. 
And to all past and current contributors!

(2/2)","2021-02-23 15:56 +0000","2970.0","13.0","0.004377104377104377","1.0","1.0","5.0","3.0","0.0","0.0","3.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1364242670189764611","https://twitter.com/rOpenSci/status/1364242670189764611","[blog] rOpenSci Dev Guide 0.6.0: Updates 📘

🎉 From @ma_salmon &amp; all software review editors

- Spanish software review now available!
- Guidance for docs, testing &amp; 📦 evolution
- Design refresh &amp; better citation info

https://t.co/IOGCwItzoU

#rstats #SoftwarePeerReview

(1/2)","2021-02-23 15:56 +0000","4748.0","32.0","0.006739679865206402","6.0","1.0","9.0","1.0","7.0","0.0","8.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1362099494658129921","https://twitter.com/rOpenSci/status/1362099494658129921","Follow @roknowtifier to see when new rOpenSci packages or new versions of our packages are released https://t.co/iyOYFeT3Mu","2021-02-17 18:00 +0000","3103.0","50.0","0.016113438607798906","0.0","0.0","1.0","19.0","0.0","0.0","5.0","0.0","0","0","0","0","0","25","25","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1362065635308494849","https://twitter.com/rOpenSci/status/1362065635308494849","[Community Call] rOpenSci Statistical Software Testing and Peer Review

w/ @noamross @bikesRdata @annakrystalli @alexpghayes @JohnSakaluk

Tues Mar 2, 9am PST / 17:00 UTC

- Intro
- New tools to prep software for submission
- Live walk-through

https://t.co/uR9fL52Q4K

#Rstats","2021-02-17 15:45 +0000","50805.0","366.0","0.0072040153528196045","32.0","2.0","43.0","67.0","124.0","1.0","97.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1361705232330203139","https://twitter.com/rOpenSci/status/1361705232330203139","@ma_salmon @sckottie @_inundata 🙏 Thank you to @adamhsparks for commenting on an early draft of the blog post

(2/2)","2021-02-16 15:53 +0000","2954.0","12.0","0.004062288422477996","0.0","1.0","4.0","2.0","0.0","0.0","5.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1361704915693801474","https://twitter.com/rOpenSci/status/1361704915693801474","[blog] Make Your R Package Easier to Cite

@ma_salmon @sckottie &amp; @_inundata discuss

- Making it easy to cite your 📦
- Why it's so hard to cite 📦s
- How rOpenSci tracks citations

And invite you to share your insights!

https://t.co/Wb43Xd6fk0

#rstats #citations

(1/2)","2021-02-16 15:52 +0000","10654.0","131.0","0.012295851323446592","16.0","1.0","29.0","7.0","47.0","2.0","29.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1359562782505529347","https://twitter.com/rOpenSci/status/1359562782505529347","Have any cool examples using rOpenSci packages? We’d love to see them! Consider adding your use case (or a link to your code/post) in our public forum. We have templates to make it easier, and we’ll tweet to promote them!

https://t.co/l5mVWySWbu https://t.co/0iseKN2uoU","2021-02-10 18:00 +0000","7805.0","91.0","0.011659192825112108","10.0","0.0","7.0","7.0","11.0","0.0","11.0","0.0","0","0","0","0","0","45","45","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1359533837181538311","https://twitter.com/rOpenSci/status/1359533837181538311","@emilyriederer's blog post on ""Building a team of internal R packages"" mentions rOpenSci's dev Guide (https://t.co/H8YnkzHZoU) as a resource on package design, and with special reference to function naming. 

https://t.co/fVF3eBFbh7","2021-02-10 16:05 +0000","707.0","11.0","0.015558698727015558","1.0","0.0","2.0","0.0","7.0","0.0","1.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1359532586738077699","https://twitter.com/rOpenSci/status/1359532586738077699","[use case] Mapping collaborations in Neotropical Taxonomy with refsplitr by @BrunaLab, @rallidaerule &amp; @birderboone

https://t.co/x3dHzjfK0l

with link to journal article

refsplitr by @rallidaerule and @BrunaLab

#rstats #package #refsplitr #use-cases https://t.co/xScoIeuyqa","2021-02-10 16:00 +0000","7472.0","85.0","0.011375802997858672","3.0","0.0","3.0","2.0","15.0","2.0","14.0","0.0","0","0","0","0","0","46","46","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1359170193801400322","https://twitter.com/rOpenSci/status/1359170193801400322","[blog] coder Makes Medical Coding less Messy 🩺🥼

@eriklgb  introduces R 📦 coder using regex to flexibly summarize and interpret medical codes for diseases, disorders, &amp; procedures (etc)

https://t.co/aR4iDapd6D

🙏 Thank you to rOpenSci reviewers @zabormetrics &amp; @drob

#rstats","2021-02-09 16:00 +0000","12817.0","162.0","0.01263946321292034","15.0","0.0","24.0","11.0","78.0","0.0","34.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
